stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
5710CBZ02493,,"Leven Close",,51.515789268,-3.173583891,,,,,,
5710CBZ02494,,"Leven Close",,51.51581393,-3.173815115,,,,,,
5710AWA10266,,Library,,51.496675406,-3.164276462,,,,,,
5710AWA11265,,Library,,51.515753148,-3.225465561,,,,,,
5710AWA10543,,Library,,51.496691072,-3.165414918,,,,,,
5710AWA11266,,Library,,51.515865236,-3.225065037,,,,,,
5710AWA10264,,Library,,51.496555108,-3.164619134,,,,,,
5710AWA11207,,Library,,51.518690505,-3.257180537,,,,,,
5710AWA10520,,Library,,51.497685212,-3.182871664,,,,,,
5710AWA10694,,"Lisvane (Post Office)",,51.54107494,-3.169922872,,,,,,
5710CBZ02488,,"Lisvane (Post Office)",,51.541274579,-3.169740535,,,,,,
5710AWA10701,,"Lisvane Station",,51.5445971,-3.184520671,,,,,,
5710AWM26306,,"Lisvane Station",,51.54475963,-3.185788603,,,,,,
5710AWA10897,,"Lisvane Station",,51.544180143,-3.186629699,,,,,,
5710AWA11691,,"Littleton Street",,51.477514946,-3.196303053,,,,,,
5710AWA11692,,"Littleton Street",,51.477432571,-3.196444894,,,,,,
5710AWA11778,,"Llandaff Fields",,51.489130585,-3.203520773,,,,,,
5710AWA11256,,"Llandaff Station",,51.506957453,-3.228197784,,,,,,
5710AWA11255,,"Llandaff Station",,51.506818256,-3.228343894,,,,,,
5710AWA10670,,"Llandennis Road",,51.520274631,-3.178224968,,,,,,
5720WDB48435,,"Llandough Church",,51.443692494,-3.200181622,,,,,,
5720AWA11786,,"Llandough Hill",,51.452230992,-3.195282087,,,,,,
5720AWA11787,,"Llandough Hill",,51.451502793,-3.194385178,,,,,,
5720AWA10385,,"Llandough Hospital",,51.446823179,-3.197400089,,,,,,
5720CBZ02536,,"Llandough Hospital (opp. Main Entrance)",,51.448821501,-3.203069372,,,,,,
5720AWA10379,,"Llandough Institute",,51.450861445,-3.199074419,,,,,,
5720AWA10380,,"Llandough Institute",,51.450681828,-3.199105403,,,,,,
5720WDB25111,,"Llandough Trading Est",,51.454225,-3.198140705,,,,,,
5710AWA10274,,"Llanedeyrn Road",,51.505936421,-3.149758056,,,,,,
5710AWA10275,,"Llanedeyrn Road",,51.505958072,-3.149383976,,,,,,
5710AWA10066,,"Llaneirwg Way",,51.527440803,-3.108149042,,,,,,
5710AWA10191,,"Llaneirwg Way",,51.525165848,-3.107200089,,,,,,
5710AWA10190,,"Llaneirwg Way",,51.525056474,-3.107355997,,,,,,
5710AWA10073,,"Llaneirwg Way",,51.527509585,-3.107530848,,,,,,
5710AWA11341,,"Llangattock Road",,51.48931802,-3.237345172,,,,,,
5710AWA10495,,"Llangorse Rd",,51.522697688,-3.165199613,,,,,,
5710AWA10908,,"Llangranog Road",,51.53095186,-3.201769093,,,,,,
5710AWA10923,,"Llanishen Church Heol Hir",,51.529478228,-3.189317964,,,,,,
5710AWA10682,,"Llanishen Station",,51.531947499,-3.182548704,,,,,,
5710AWA10683,,"Llanishen Station",,51.532304627,-3.181909194,,,,,,
5710AWA10523,,"Llanishen Street",,51.502146039,-3.183678748,,,,,,
5710AWA10912,,"Llanon Road",,51.533803986,-3.195442836,,,,,,
5710AWA12982,,"Llanon Road",,51.534633216,-3.189942553,,,,,,
5710AWA12983,,"Llanon Road",,51.535009457,-3.190082127,,,,,,
5710AWA10911,,"Llanon Road",,51.533647786,-3.195770346,,,,,,
5710AWA10060,,"Llanrumney Ave",,51.510597699,-3.129038369,,,,,,
5710AWA10081,,"Llanrumney Avenue",,51.509898798,-3.130649407,,,,,,
5710AWA10113,,"Llanrumney Hall",,51.522481994,-3.131206135,,,,,,
5710AWA10112,,"Llanrumney Hall",,51.522004568,-3.131295199,,,,,,
5710AWA11235,,"Llantrisant Rise",,51.499060805,-3.23350318,,,,,,
5710WDB48519,,"Llantrisant Road",,51.505552075,-3.248879641,,,,,,
5710WDB25404,,"Llantrisant Road",,51.505705104,-3.248948521,,,,,,
5710AWA11552,,"Llewellyn Ave",,51.481692492,-3.252619962,,,,,,
5710AWA11551,,"Llewellyn Avenue",,51.481759791,-3.253053842,,,,,,
5710WDB25077,,"Lloyd George Avenue",,51.467503552,-3.166297763,,,,,,
5710WDB48421,,"Lloyd George Avenue",,51.468104713,-3.166428269,,,,,,
5710AWA10330,,"Llwyn Castan",,51.526253399,-3.153888054,,,,,,
5710AWA10331,,"Llwyn Castan",,51.527039605,-3.153489889,,,,,,
5710WDB48442,,"Llys Enfys",,51.522751298,-3.19913159,,,,,,
